,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG
2426,203097,"Melo, Fab",0,2012,2012,fab_melo,0,,,,,Y
2427,77577,"Melvin, Ed",0,1946,1946,HISTADD_ed_melvin,0,,,,,Y
2428,77578,"Meminger, Dean",0,1971,1976,HISTADD_thedream_meminger,0,,,,,Y
2429,77579,"Mencel, Chuck",0,1955,1956,HISTADD_chuck_mencel,0,,,,,Y
2430,77580,"Mengelt, John",0,1971,1980,HISTADD_crash_mengelt,0,,,,,Y
2431,77581,"Menke, Ken",0,1949,1949,HISTADD_angles_menke,0,,,,,Y
2432,200822,"Mensah-Bonsu, Pops",0,2006,2010,pops_mensah-bonsu,0,,,,,Y
2433,1500,"Mercer, Ron",0,1997,2004,ron_mercer,0,,,,,Y
2434,77582,"Meriweather, Joe",0,1975,1984,HISTADD_joe_meriweather,0,,,,,Y
2435,77583,"Meriwether, Porter",0,1962,1962,HISTADD_porter_meriwether,0,,,,,Y
2436,77584,"Meschery, Tom",0,1961,1970,HISTADD_tom_meschery,0,,,,,Y
2437,684,"Meyer, Loren",0,1995,1998,HISTADD_loren_meyer,0,,,,,Y
2438,77586,"Meyers, Dave",0,1975,1979,HISTADD_dave_meyers,0,,,,,Y
2439,77587,"Miasek, Stan",0,1946,1952,HISTADD_stan_miasek,0,,,,,Y
2440,77588,"Micheaux, Larry",0,1983,1984,HISTADD_larry_micheaux,0,,,,,Y
2441,1626175,"Mickey, Jordan",1,2015,2015,jordan_mickey,1610612738,Boston,Celtics,BOS,celtics,Y
2442,203114,"Middleton, Khris",1,2012,2015,khris_middleton,1610612749,Milwaukee,Bucks,MIL,bucks,Y
2443,77589,"Mihalik, Zigmund",0,1946,1946,HISTADD_red_mihalik,0,,,,,Y
2444,2036,"Mihm, Chris",0,2000,2008,chris_mihm,0,,,,,Y
2445,77590,"Mikan, Ed",0,1948,1953,HISTADD_ed_mikan,0,,,,,Y
2446,600012,"Mikan, George",0,1948,1955,HISTADD_george_mikan,0,,,,,Y
2447,77591,"Mikan, Larry",0,1970,1970,HISTADD_larry_mikan,0,,,,,Y
2448,77593,"Mikkelsen, Vern",0,1949,1958,HISTADD_vern_mikkelsen,0,,,,,Y
2449,77594,"Miksis, Al",0,1949,1949,HISTADD_al_miksis,0,,,,,Y
2450,101223,"Miles, Aaron",0,2005,2005,aaron_miles,0,,,,,Y
2451,101139,"Miles, CJ",1,2005,2015,cj_miles,1610612754,Indiana,Pacers,IND,pacers,Y
2452,2032,"Miles, Darius",0,2000,2008,darius_miles,0,,,,,Y
2453,77596,"Miles, Eddie",0,1963,1971,HISTADD_eddie_miles,0,,,,,Y
2454,1527,"Milic, Marko",0,1997,1998,marko_milic,0,,,,,Y
2455,2545,"Milicic, Darko",0,2003,2012,darko_milicic,0,,,,,Y
2456,77598,"Militzok, Nat",0,1946,1946,HISTADD_nat_militzok,0,,,,,Y
2457,1889,"Miller, Andre",1,1999,2015,andre_miller,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y
2458,292,"Miller, Anthony",0,1994,2004,anthony_miller,0,,,,,Y
2459,77605,"Miller, Bill",0,1948,1948,HISTADD_bill_miller,0,,,,,Y
2460,77603,"Miller, Bob",0,1983,1983,HISTADD_bob_miller,0,,,,,Y
2461,1802,"Miller, Brad",0,1998,2011,brad_miller,0,,,,,Y
2462,203121,"Miller, Darius",0,2012,2014,darius_miller,0,,,,,Y
2463,77602,"Miller, Dick",0,1980,1980,HISTADD_dick_miller,0,,,,,Y
2464,77599,"Miller, Eddie",0,1952,1953,HISTADD_eddie_miller,0,,,,,Y
2465,77600,"Miller, Harry",0,1946,1946,HISTADD_moose_miller,0,,,,,Y
2466,77601,"Miller, Jay",0,1967,1968,HISTADD_jayjay_miller,0,,,,,Y
2467,2034,"Miller, Mike",1,2000,2015,mike_miller,1610612743,Denver,Nuggets,DEN,nuggets,Y
2468,932,"Miller, Oliver",0,1992,2003,oliver_miller,0,,,,,Y
2469,203113,"Miller, Quincy",0,2012,2014,quincy_miller,0,,,,,Y
2470,397,"Miller, Reggie",0,1987,2004,reggie_miller,0,,,,,Y
2471,77604,"Miller, Walt",0,1946,1946,HISTADD_walt_miller,0,,,,,Y
2472,168,"Mills, Chris",0,1993,2002,chris_mills,0,,,,,Y
2473,77606,"Mills, John",0,1946,1946,HISTADD_longjohn_mills,0,,,,,Y
2474,201988,"Mills, Patty",1,2009,2015,patrick_mills,1610612759,San Antonio,Spurs,SAS,spurs,Y
2475,371,"Mills, Terry",0,1990,2000,HISTADD_terry_mills,0,,,,,Y
2476,202407,"Millsap, Elijah",0,2014,2015,elijah_millsap,0,,,,,Y
2477,200794,"Millsap, Paul",1,2006,2015,paul_millsap,1610612737,Atlanta,Hawks,ATL,hawks,Y
2478,114,"Miner, Harold",0,1992,1995,HISTADD_harold_miner,0,,,,,Y
2479,77609,"Minniefield, Dirk",0,1985,1987,HISTADD_dirk_minniefield,0,,,,,Y
2480,77610,"Minor, Dave",0,1951,1952,HISTADD_dave_minor,0,,,,,Y
2481,65,"Minor, Greg",0,1994,1998,HISTADD_greg_minor,0,,,,,Y
2482,77612,"Minor, Mark",0,1972,1972,HISTADD_mark_minor,0,,,,,Y
2483,202703,"Mirotic, Nikola",1,2014,2015,nikola_mirotic,1610612741,Chicago,Bulls,CHI,bulls,Y
2484,77613,"Misaka, Wat",0,1947,1947,HISTADD_wat_misaka,0,,,,,Y
2485,1954,"Miskiri, Jason",0,1999,1999,jason_miskiri,0,,,,,Y
2486,77615,"Mitchell, Mike",0,1978,1987,HISTADD_mike_mitchell,0,,,,,Y
2487,77616,"Mitchell, Murray",0,1949,1949,HISTADD_murray_mitchell,0,,,,,Y
2488,417,"Mitchell, Sam",0,1989,2001,HISTADD_sam_mitchell,0,,,,,Y
2489,77614,"Mitchell, Todd",0,1988,1988,HISTADD_todd_mitchell,0,,,,,Y
2490,203183,"Mitchell, Tony",0,2013,2013,tony_mitchell,0,,,,,Y
2491,203502,"Mitchell, Tony",0,2013,2013,tony_l_mitchell,0,,,,,Y
2492,77618,"Mix, Steve",0,1969,1982,HISTADD_steve_mix,0,,,,,Y
2493,77619,"Mlkvy, Bill",0,1952,1952,HISTADD_bill_mlkvy,0,,,,,Y
2494,1749,"Mobley, Cuttino",0,1998,2008,cuttino_mobley,0,,,,,Y
2495,211,"Mobley, Eric",0,1994,1996,HISTADD_eric_mobley,0,,,,,Y
2496,77621,"Moffett, Larry",0,1977,1977,HISTADD_larry_moffett,0,,,,,Y
2497,77622,"Mogus, Leo",0,1946,1950,HISTADD_leo_mogus,0,,,,,Y
2498,1737,"Mohammed, Nazr",0,1998,2014,nazr_mohammed,0,,,,,Y
2499,2040,"Moiso, Jerome",0,2000,2004,jerome_moiso,0,,,,,Y
2500,77623,"Mokeski, Paul",0,1979,1990,HISTADD_paul_mokeski,0,,,,,Y
2501,77624,"Molinas, Jack",0,1953,1953,HISTADD_jack_molinas,0,,,,,Y
2502,77625,"Molis, Wayne",0,1966,1966,HISTADD_wayne_molis,0,,,,,Y
2503,77626,"Moncrief, Sidney",0,1979,1990,HISTADD_sidney_moncrief,0,,,,,Y
2504,77627,"Money, Eric",0,1974,1979,HISTADD_eric_money,0,,,,,Y
2505,2752,"Monia, Sergei",0,2005,2005,sergei_monia,0,,,,,Y
2506,600006,"Monroe, Earl",0,1967,1979,HISTADD_earl_monroe,0,,,,,Y
2507,202328,"Monroe, Greg",1,2010,2015,greg_monroe,1610612749,Milwaukee,Bucks,MIL,bucks,Y
2508,77628,"Monroe, Rodney",0,1991,1991,HISTADD_rodney_monroe,0,,,,,Y
2509,1626242,"Montero, Luis",1,2015,2015,luis_montero,1610612757,Portland,Trail Blazers,POR,blazers,Y
2510,77630,"Montgomery, Howie",0,1962,1962,HISTADD_howie_montgomery,0,,,,,Y
2511,376,"Montross, Eric",0,1994,2002,eric_montross,0,,,,,Y
2512,200081,"Moon, Jamario",0,2007,2011,jamario_moon,0,,,,,Y
2513,77631,"Mooney, Jim",0,1952,1952,HISTADD_jim_mooney,0,,,,,Y
2514,77632,"Moore, Andre",0,1987,1987,HISTADD_andre_moore,0,,,,,Y
2515,202734,"Moore, E'Twaun",1,2011,2015,etwaun_moore,1610612741,Chicago,Bulls,CHI,bulls,Y
2516,77634,"Moore, Jackie",0,1954,1956,HISTADD_jackie_moore,0,,,,,Y
2517,77633,"Moore, Johnny",0,1980,1989,HISTADD_johnny_moore,0,,,,,Y
2518,77635,"Moore, Lowes",0,1980,1982,HISTADD_lowes_moore,0,,,,,Y
2519,1630,"Moore, Mikki",0,1998,2011,mikki_moore,0,,,,,Y
2520,77636,"Moore, Otto",0,1968,1976,HISTADD_otto_moore,0,,,,,Y
2521,77637,"Moore, Ron",0,1987,1987,HISTADD_ron_moore,0,,,,,Y
2522,929,"Moore, Tracy",0,1991,1996,HISTADD_tracy_moore,0,,,,,Y
2523,203961,"Moreland, Eric",1,2014,2015,eric_moreland,1610612758,Sacramento,Kings,SAC,kings,Y
2524,77639,"Moreland, Jackie",0,1960,1964,HISTADD_jackie_moreland,0,,,,,Y
2525,77640,"Morgan, Guy",0,1982,1982,HISTADD_guy_morgan,0,,,,,Y
2526,77641,"Morgan, Rex",0,1970,1971,HISTADD_rex_morgan,0,,,,,Y
2527,77642,"Morgenthaler, Elmo",0,1946,1948,HISTADD_elmo_morgenthaler,0,,,,,Y
2528,77644,"Morningstar, Darren",0,1993,1993,HISTADD_darren_morningstar,0,,,,,Y
2529,356,"Morris, Chris",0,1988,1998,HISTADD_chris_morris,0,,,,,Y
2530,202721,"Morris, Darius",0,2011,2014,darius_morris,0,,,,,Y
2531,77647,"Morris, Isaiah",0,1992,1992,HISTADD_isaiah_morris,0,,,,,Y
2532,202694,"Morris, Marcus",1,2011,2015,marcus_morris,1610612765,Detroit,Pistons,DET,pistons,Y
2533,202693,"Morris, Markieff",1,2011,2015,markieff_morris,1610612756,Phoenix,Suns,PHX,suns,Y
2534,77646,"Morris, Max",0,1949,1949,HISTADD_max_morris,0,,,,,Y
2535,201043,"Morris, Randolph",0,2006,2009,randolph_morris,0,,,,,Y
2536,2242,"Morris, Terence",0,2001,2005,europelive,0,,,,,Y
2537,200747,"Morrison, Adam",0,2006,2009,adam_morrison,0,,,,,Y
2538,77648,"Morrison, Dwight",0,1954,1957,HISTADD_red_morrison,0,,,,,Y
2539,77649,"Morrison, Mike",0,1989,1989,HISTADD_mike_morrison,0,,,,,Y
2540,201627,"Morrow, Anthony",1,2008,2015,anthony_morrow,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
2541,132,"Morton, Dwayne",0,1994,1994,HISTADD_dwayne_morton,0,,,,,Y
2542,1972,"Morton, John",0,1989,1991,HISTADD_john_morton,0,,,,,Y
2543,77652,"Morton, Richard",0,1988,1988,HISTADD_richard_morton,0,,,,,Y
2544,77653,"Mosley, Glenn",0,1977,1978,HISTADD_glenn_mosley,0,,,,,Y
2545,77654,"Moss, Perry",0,1985,1986,HISTADD_perry_moss,0,,,,,Y
2546,734,"Moten, Lawrence",0,1995,1997,HISTADD_lawrence_moten,0,,,,,Y
2547,202700,"Motiejunas, Donatas",1,2012,2015,donatas_motiejunas,1610612745,Houston,Rockets,HOU,rockets,Y
2548,2069,"Mottola, Hanno",0,2000,2001,HISTADD_hanno_mottola,0,,,,,Y
2549,203102,"Moultrie, Arnett",0,2012,2013,arnett_moultrie,0,,,,,Y
2550,297,"Mourning, Alonzo",0,1992,2007,alonzo_mourning,0,,,,,Y
2551,202389,"Mozgov, Timofey",1,2010,2015,timofey_mozgov,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y
2552,77657,"Mrazovich, Chuck",0,1950,1950,HISTADD_chuck_mrazovich,0,,,,,Y
2553,1626144,"Mudiay, Emmanuel",1,2015,2015,emmanuel_mudiay,1610612743,Denver,Nuggets,DEN,nuggets,Y
2554,77658,"Mueller, Erwin",0,1966,1972,HISTADD_erwin_mueller,0,,,,,Y
2555,203498,"Muhammad, Shabazz",1,2013,2015,shabazz_muhammad,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y
2556,77659,"Mullaney, Joe",0,1949,1949,HISTADD_joe_mullaney,0,,,,,Y
2557,77660,"Mullens, Bob",0,1946,1946,HISTADD_bob_mullens,0,,,,,Y
2558,201957,"Mullens, Byron",0,2009,2013,byron_mullens,0,,,,,Y
2559,904,"Mullin, Chris",0,1985,2000,HISTADD_chris_mullin,0,,,,,Y
2560,77662,"Mullins, Jeff",0,1964,1975,HISTADD_jeff_mullins,0,,,,,Y
2561,942,"Mundt, Todd",0,1995,1995,HISTADD_todd_mundt,0,,,,,Y
2562,77664,"Munk, Chris",0,1990,1990,HISTADD_chris_munk,0,,,,,Y
2563,77665,"Munroe, George",0,1946,1947,HISTADD_george_munroe,0,,,,,Y
2564,785,"Murdock, Eric",0,1991,1999,HISTADD_eric_murdock,0,,,,,Y
2565,49,"Muresan, Gheorghe",0,1993,1999,HISTADD_gheorghe_muresan,0,,,,,Y
2566,77668,"Murphy, Allen",0,1976,1976,HISTADD_allen_murphy,0,,,,,Y
2567,77669,"Murphy, Calvin",0,1970,1982,HISTADD_calvin_murphy,0,,,,,Y
2568,77672,"Murphy, Dick",0,1946,1946,HISTADD_dick_murphy,0,,,,,Y
2569,203513,"Murphy, Erik",0,2013,2013,erik_murphy,0,,,,,Y
2570,77670,"Murphy, Jay",0,1984,1987,HISTADD_jay_murphy,0,,,,,Y
2571,77671,"Murphy, John",0,1946,1946,HISTADD_moe_murphy,0,,,,,Y
2572,203122,"Murphy, Kevin",0,2012,2012,kevin_murphy,0,,,,,Y
2573,77673,"Murphy, Ronnie",0,1987,1987,HISTADD_ronnie_murphy,0,,,,,Y
2574,77674,"Murphy, Tod",0,1987,1993,HISTADD_tod_murphy,0,,,,,Y
2575,2211,"Murphy, Troy",0,2001,2012,troy_murphy,0,,,,,Y
2576,77675,"Murray, Ken",0,1950,1954,HISTADD_ken_murray,0,,,,,Y
2577,441,"Murray, Lamond",0,1994,2005,lamond_murray,0,,,,,Y
2578,2436,"Murray, Ronald",0,2002,2009,ronald_murray,0,,,,,Y
